Date,Customer ID,Product Category,Product Name,Quantity Sold,Price,Discount Applied,Payment Method,Total Sales,Month,Revenue
2024-01-01,b269ef97,Books,Laptop,3,352.1,0.16,Credit Card,887.2920000000001,2024-01,887.2920000000001
2024-01-02,791440fc,Electronics,Novel,4,272.69,0.14,PayPal,938.0536,2024-01,938.0536
2024-01-03,cc917c87,Clothing,Vacuum,1,161.67,0.01,Credit Card,160.0533,2024-01,160.0533
2024-01-04,39386f53,Clothing,Board Game,3,408.76,0.1,Credit Card,1103.652,2024-01,1103.652
2024-01-05,59e8fa53,Books,Shoes,3,345.52,0.11,Credit Card,922.5383999999999,2024-01,922.5383999999999
2024-01-06,762b13b7,Books,Shoes,4,89.68,0.12,Bank Transfer,315.6736,2024-01,315.6736
2024-01-07,fd07e3e8,Toys,Laptop,1,456.35,0.17,Bank Transfer,378.7705,2024-01,378.7705
2024-01-08,4c9c765e,Electronics,Laptop,1,413.04,0.16,Bank Transfer,346.9536,2024-01,346.9536
2024-01-09,0a8d9f30,Home,Board Game,3,475.4,0.18,PayPal,1169.484,2024-01,1169.484
2024-01-10,709556fc,Electronics,Vacuum,2,365.6,0.23,PayPal,563.024,2024-01,563.024
2024-01-11,2380e9b2,Clothing,Novel,3,310.57,0.24,PayPal,708.0996,2024-01,708.0996
2024-01-12,9be51aa4,Home,Novel,3,214.94,0.22,Bank Transfer,502.9596,2024-01,502.9596
2024-01-13,094d6739,Electronics,Vacuum,3,467.04,0.29,Bank Transfer,994.7952,2024-01,994.7952
2024-01-14,06d4e5d6,Electronics,Laptop,3,434.37,0.01,Bank Transfer,1290.0789,2024-01,1290.0789
2024-01-15,b2940df3,Books,Novel,4,32.16,0.06,Bank Transfer,120.9216,2024-01,120.9216
2024-01-16,d4730edc,Home,Shoes,1,22.92,0.0,Credit Card,22.92,2024-01,22.92
2024-01-17,167dbb8b,Clothing,Laptop,4,194.47,0.19,PayPal,630.0828,2024-01,630.0828
2024-01-18,9adcf070,Home,Vacuum,4,407.17,0.27,Credit Card,1188.9364,2024-01,1188.9364
2024-01-19,731a4fbf,Toys,Laptop,4,493.77,0.07,PayPal,1836.8244,2024-01,1836.8244
2024-01-20,ec0b3fc7,Electronics,Novel,3,83.7,0.28,Bank Transfer,180.792,2024-01,180.792
2024-01-21,c8a911bb,Toys,Shoes,2,301.12,0.02,PayPal,590.1952,2024-01,590.1952
2024-01-22,0a32c217,Books,Shoes,1,196.64,0.28,Bank Transfer,141.5808,2024-01,141.5808
2024-01-23,9c9390e5,Clothing,Board Game,2,485.26,0.11,Credit Card,863.7628,2024-01,863.7628
2024-01-24,38e5e40f,Electronics,Shoes,4,422.64,0.03,Bank Transfer,1639.8432,2024-01,1639.8432
2024-01-25,b8f512d8,Toys,Laptop,4,420.78,0.15,Bank Transfer,1430.652,2024-01,1430.652
2024-01-26,898e6b7b,Clothing,Board Game,2,239.66,0.08,Bank Transfer,440.9744,2024-01,440.9744
2024-01-27,adfeb4b4,Electronics,Laptop,2,213.26,0.09,PayPal,388.1332,2024-01,388.1332
2024-01-28,041d31ac,Electronics,Board Game,2,143.97,0.09,Bank Transfer,262.0254,2024-01,262.0254
2024-01-29,3c2aaaef,Toys,Laptop,4,37.62,0.24,PayPal,114.3648,2024-01,114.3648
2024-01-30,79834f06,Books,Laptop,4,433.71,0.16,Credit Card,1457.2656,2024-01,1457.2656
2024-01-31,9d6418d4,Toys,Shoes,1,408.32,0.09,Credit Card,371.5712,2024-01,371.5712
2024-02-01,60676783,Books,Laptop,1,499.86,0.18,Credit Card,409.8852000000001,2024-02,409.8852000000001
2024-02-02,99906a37,Home,Novel,4,498.35,0.21,PayPal,1574.786,2024-02,1574.786
2024-02-03,ad85dca7,Toys,Laptop,2,282.16,0.08,Bank Transfer,519.1744000000001,2024-02,519.1744000000001
2024-02-04,9ca63020,Clothing,Laptop,2,386.8,0.12,Bank Transfer,680.768,2024-02,680.768
2024-02-05,54d12666,Home,Novel,1,472.94,0.04,Credit Card,454.0224,2024-02,454.0224
2024-02-06,559e1515,Toys,Shoes,4,426.33,0.05,Bank Transfer,1620.054,2024-02,1620.054
2024-02-07,a571ad29,Books,Shoes,1,131.2,0.2,Credit Card,104.96,2024-02,104.96
2024-02-08,ccf6ec5e,Toys,Laptop,1,230.77,0.05,Credit Card,219.2315,2024-02,219.2315
2024-02-09,96c30d69,Home,Laptop,3,73.29,0.16,Bank Transfer,184.6908,2024-02,184.6908
2024-02-10,39149765,Books,Novel,3,477.49,0.21,PayPal,1131.6513,2024-02,1131.6513
2024-02-11,9b1a4013,Electronics,Vacuum,3,307.03,0.03,Bank Transfer,893.4572999999999,2024-02,893.4572999999999
2024-02-12,72036e1f,Clothing,Novel,2,122.03,0.17,Credit Card,202.5698,2024-02,202.5698
2024-02-13,e0c58854,Clothing,Vacuum,4,339.13,0.08,Bank Transfer,1247.9984,2024-02,1247.9984
2024-02-14,5c9fa59d,Electronics,Novel,4,312.88,0.29,Bank Transfer,888.5791999999999,2024-02,888.5791999999999
2024-02-15,04b644dc,Clothing,Vacuum,4,185.5,0.15,PayPal,630.6999999999999,2024-02,630.6999999999999
2024-02-16,ee0077bb,Electronics,Laptop,4,65.64,0.24,PayPal,199.5456,2024-02,199.5456
2024-02-17,6b3867ce,Clothing,Vacuum,3,339.07,0.17,Bank Transfer,844.2843,2024-02,844.2843
2024-02-18,0abc61e8,Books,Board Game,2,264.95,0.01,Credit Card,524.601,2024-02,524.601
2024-02-19,6e84b9ce,Clothing,Laptop,2,388.44,0.19,Bank Transfer,629.2728000000001,2024-02,629.2728000000001
2024-02-20,eee72ac5,Clothing,Novel,3,264.88,0.29,Credit Card,564.1944,2024-02,564.1944
2024-02-21,36d356d6,Clothing,Board Game,2,427.57,0.18,Bank Transfer,701.2148000000001,2024-02,701.2148000000001
2024-02-22,2f5e0f2f,Clothing,Vacuum,3,280.43,0.25,Bank Transfer,630.9675,2024-02,630.9675
2024-02-23,18efa03c,Toys,Vacuum,4,284.86,0.27,Credit Card,831.7912,2024-02,831.7912
